"O korkunç: 1 defa bulunmaktadır
korkunç bir: 2 defa bulunmaktadır
bir an...": 1 defa bulunmaktadır
an..." Hürriyet: 1 defa bulunmaktadır
Hürriyet Dünyası'nın: 1 defa bulunmaktadır
Dünyası'nın yılbaşı: 1 defa bulunmaktadır
yılbaşı kutlamasında: 1 defa bulunmaktadır
kutlamasında sahne: 1 defa bulunmaktadır
sahne alan: 1 defa bulunmaktadır
alan pop: 1 defa bulunmaktadır
pop müzik: 1 defa bulunmaktadır
müzik sanatçısı: 1 defa bulunmaktadır
sanatçısı Yaşar,: 1 defa bulunmaktadır
Yaşar, konser: 1 defa bulunmaktadır
konser öncesindeki: 1 defa bulunmaktadır
öncesindeki hazırlık: 1 defa bulunmaktadır
hazırlık sürecini: 1 defa bulunmaktadır
sürecini Hilal: 1 defa bulunmaktadır
Hilal Meriç'e: 1 defa bulunmaktadır
Meriç'e anlattı.: 1 defa bulunmaktadır
anlattı. Yaşar,: 1 defa bulunmaktadır
Yaşar, konsere: 1 defa bulunmaktadır
konsere nasıl: 1 defa bulunmaktadır
nasıl hazırlandığını: 1 defa bulunmaktadır
hazırlandığını şu: 1 defa bulunmaktadır
şu sözlerle: 1 defa bulunmaktadır
sözlerle aktardı:: 1 defa bulunmaktadır
aktardı: "Kimseyle: 1 defa bulunmaktadır
"Kimseyle konuşmamakla: 1 defa bulunmaktadır
konuşmamakla başlarım: 1 defa bulunmaktadır
başlarım ben,: 1 defa bulunmaktadır
ben, küçük: 1 defa bulunmaktadır
küçük notlarla: 1 defa bulunmaktadır
notlarla bilgi: 1 defa bulunmaktadır
bilgi edinir: 1 defa bulunmaktadır
edinir o: 1 defa bulunmaktadır
o gün: 2 defa bulunmaktadır
gün dinleyenlerim.: 1 defa bulunmaktadır
dinleyenlerim. Ne: 1 defa bulunmaktadır
Ne TVde: 1 defa bulunmaktadır
TVde ne: 1 defa bulunmaktadır
ne de: 1 defa bulunmaktadır
de radyoda: 1 defa bulunmaktadır
radyoda konserimle: 1 defa bulunmaktadır
konserimle ilgili: 1 defa bulunmaktadır
ilgili yönlendirme: 1 defa bulunmaktadır
yönlendirme yapmam.: 1 defa bulunmaktadır
yapmam. Sürprizi: 1 defa bulunmaktadır
Sürprizi bu,: 1 defa bulunmaktadır
bu, sesimi: 1 defa bulunmaktadır
sesimi ilk: 1 defa bulunmaktadır
ilk o: 1 defa bulunmaktadır
o gün: 2 defa bulunmaktadır
gün orada: 1 defa bulunmaktadır
orada olanlar: 1 defa bulunmaktadır
olanlar duymalı: 1 defa bulunmaktadır
duymalı Dünyadan: 1 defa bulunmaktadır
Dünyadan bihaber: 1 defa bulunmaktadır
bihaber geçer: 1 defa bulunmaktadır
geçer günün: 1 defa bulunmaktadır
günün devamı: 1 defa bulunmaktadır
devamı konsere: 1 defa bulunmaktadır
konsere kadar,: 1 defa bulunmaktadır
kadar, bunun: 1 defa bulunmaktadır
bunun için: 1 defa bulunmaktadır
için çabalarım.: 1 defa bulunmaktadır
çabalarım. Soundcheck: 1 defa bulunmaktadır
Soundcheck öncesi: 1 defa bulunmaktadır
öncesi kimse: 1 defa bulunmaktadır
kimse duymasın: 1 defa bulunmaktadır
duymasın isterim: 1 defa bulunmaktadır
isterim tıpkı: 1 defa bulunmaktadır
tıpkı yeni: 1 defa bulunmaktadır
yeni gelini: 1 defa bulunmaktadır
gelini görmeyen: 1 defa bulunmaktadır
görmeyen damat: 1 defa bulunmaktadır
damat gibi: 1 defa bulunmaktadır
gibi 4-5: 1 defa bulunmaktadır
4-5 saat: 1 defa bulunmaktadır
saat önce: 1 defa bulunmaktadır
önce geldiğim: 1 defa bulunmaktadır
geldiğim konser: 1 defa bulunmaktadır
konser alanına: 1 defa bulunmaktadır
alanına alışır,: 1 defa bulunmaktadır
alışır, her: 1 defa bulunmaktadır
her şeyin: 1 defa bulunmaktadır
şeyin 'bence: 1 defa bulunmaktadır
'bence tamam': 1 defa bulunmaktadır
tamam' olduğunu: 1 defa bulunmaktadır
olduğunu bilmek: 1 defa bulunmaktadır
bilmek isterim.: 1 defa bulunmaktadır
isterim. Konuşmam: 1 defa bulunmaktadır
Konuşmam dedim: 1 defa bulunmaktadır
dedim ama: 1 defa bulunmaktadır
ama sohbetlerimiz: 1 defa bulunmaktadır
sohbetlerimiz olur: 1 defa bulunmaktadır
olur hem: 1 defa bulunmaktadır
hem de: 1 defa bulunmaktadır
de müzik: 1 defa bulunmaktadır
müzik dışında,: 1 defa bulunmaktadır
dışında, bol: 1 defa bulunmaktadır
bol kahkahalı... : 1 defa bulunmaktadır
kahkahalı...  Olabildiğince: 1 defa bulunmaktadır
Olabildiğince uzaklaşsın: 1 defa bulunmaktadır
uzaklaşsın diye: 1 defa bulunmaktadır
diye beynimiz,: 1 defa bulunmaktadır
beynimiz, komik: 1 defa bulunmaktadır
komik anılara: 1 defa bulunmaktadır
anılara yer: 1 defa bulunmaktadır
yer veririz.: 1 defa bulunmaktadır
veririz. Müzik: 1 defa bulunmaktadır
Müzik ister: 1 defa bulunmaktadır
ister istemez: 1 defa bulunmaktadır
istemez sohbete: 1 defa bulunmaktadır
sohbete dahil: 1 defa bulunmaktadır
dahil olur: 1 defa bulunmaktadır
olur ama: 1 defa bulunmaktadır
ama yine: 1 defa bulunmaktadır
yine de: 1 defa bulunmaktadır
de bizimle,: 1 defa bulunmaktadır
bizimle, konserle: 1 defa bulunmaktadır
konserle değil,: 1 defa bulunmaktadır
değil, bizim: 1 defa bulunmaktadır
bizim dışımızdaki: 1 defa bulunmaktadır
dışımızdaki konserler,: 1 defa bulunmaktadır
konserler, yeni: 1 defa bulunmaktadır
yeni çıkan: 1 defa bulunmaktadır
çıkan sanatçıların: 1 defa bulunmaktadır
sanatçıların albümleri...": 1 defa bulunmaktadır
albümleri..." "O: 1 defa bulunmaktadır
"O YALNIZLIK: 1 defa bulunmaktadır
YALNIZLIK ANI: 1 defa bulunmaktadır
ANI KORKUNÇ: 1 defa bulunmaktadır
KORKUNÇ BİR: 1 defa bulunmaktadır
BİR ŞEY": 1 defa bulunmaktadır
ŞEY" Konsere: 1 defa bulunmaktadır
Konsere 20: 1 defa bulunmaktadır
20 dk: 1 defa bulunmaktadır
dk kala: 1 defa bulunmaktadır
kala Üzerime: 1 defa bulunmaktadır
Üzerime giyerim: 1 defa bulunmaktadır
giyerim sahne: 1 defa bulunmaktadır
sahne kıyafetimi.: 1 defa bulunmaktadır
kıyafetimi. Bez: 1 defa bulunmaktadır
Bez parçası: 1 defa bulunmaktadır
parçası değil: 1 defa bulunmaktadır
değil bu: 1 defa bulunmaktadır
bu kıyafet: 1 defa bulunmaktadır
kıyafet dediğim: 1 defa bulunmaktadır
dediğim daha: 1 defa bulunmaktadır
daha ruhani: 1 defa bulunmaktadır
ruhani bir: 1 defa bulunmaktadır
bir şey!: 2 defa bulunmaktadır
şey! Sonra: 1 defa bulunmaktadır
Sonra içsel: 1 defa bulunmaktadır
içsel hazırlanma: 1 defa bulunmaktadır
hazırlanma sürecimde: 1 defa bulunmaktadır
sürecimde kimse: 1 defa bulunmaktadır
kimse kulise: 1 defa bulunmaktadır
kulise girmesin: 1 defa bulunmaktadır
girmesin isterim,: 1 defa bulunmaktadır
isterim, bu: 1 defa bulunmaktadır
bu eşim: 1 defa bulunmaktadır
eşim de: 1 defa bulunmaktadır
de olsa,: 1 defa bulunmaktadır
olsa, annem: 1 defa bulunmaktadır
annem de..: 1 defa bulunmaktadır
de.. Sahneye: 1 defa bulunmaktadır
Sahneye giden: 1 defa bulunmaktadır
giden adımlarda: 1 defa bulunmaktadır
adımlarda ise: 1 defa bulunmaktadır
ise ellerini: 1 defa bulunmaktadır
ellerini sıkarım: 1 defa bulunmaktadır
sıkarım yanından: 1 defa bulunmaktadır
yanından geçtiğim: 1 defa bulunmaktadır
geçtiğim güvenliğin,: 1 defa bulunmaktadır
güvenliğin, seyircilerin,: 1 defa bulunmaktadır
seyircilerin, sahneye: 1 defa bulunmaktadır
sahneye yakın: 1 defa bulunmaktadır
yakın herkesin.: 1 defa bulunmaktadır
herkesin. Bunu: 1 defa bulunmaktadır
Bunu sadece: 1 defa bulunmaktadır
sadece bir: 1 defa bulunmaktadır
bir el: 1 defa bulunmaktadır
el sıkma: 1 defa bulunmaktadır
sıkma değil: 1 defa bulunmaktadır
değil temas: 1 defa bulunmaktadır
temas olarak: 1 defa bulunmaktadır
olarak görür,: 1 defa bulunmaktadır
görür, güç: 1 defa bulunmaktadır
güç alırım: 1 defa bulunmaktadır
alırım her: 1 defa bulunmaktadır
her elini: 1 defa bulunmaktadır
elini sıktığım: 1 defa bulunmaktadır
sıktığım kişiden.: 1 defa bulunmaktadır
kişiden. İhtiyacım: 1 defa bulunmaktadır
İhtiyacım var: 1 defa bulunmaktadır
var onlara,: 1 defa bulunmaktadır
onlara, insan: 1 defa bulunmaktadır
insan sıcaklığına: 1 defa bulunmaktadır
sıcaklığına çünkü: 1 defa bulunmaktadır
çünkü sahneye: 1 defa bulunmaktadır
sahneye çıktığınızda: 1 defa bulunmaktadır
çıktığınızda yalnızsınız.: 1 defa bulunmaktadır
yalnızsınız. O: 1 defa bulunmaktadır
O yalnızlık: 1 defa bulunmaktadır
yalnızlık anı: 1 defa bulunmaktadır
anı korkunç: 1 defa bulunmaktadır
korkunç bir: 2 defa bulunmaktadır
bir şey!: 2 defa bulunmaktadır
şey! Yalnızlık: 1 defa bulunmaktadır
Yalnızlık bir: 1 defa bulunmaktadır
bir süre: 1 defa bulunmaktadır
süre devam: 1 defa bulunmaktadır
devam eder: 1 defa bulunmaktadır
eder ta: 1 defa bulunmaktadır
ta ki: 1 defa bulunmaktadır
ki yalnız: 1 defa bulunmaktadır
yalnız olmadığını: 1 defa bulunmaktadır
olmadığını hissettirene: 1 defa bulunmaktadır
hissettirene kadar: 1 defa bulunmaktadır
kadar seyirci.: 1 defa bulunmaktadır
seyirci. Bu: 1 defa bulunmaktadır
Bu bir: 1 defa bulunmaktadır
bir şarkı: 1 defa bulunmaktadır
şarkı da: 2 defa bulunmaktadır
da sürebilir,: 1 defa bulunmaktadır
sürebilir, 3-4: 1 defa bulunmaktadır
3-4 şarkı: 1 defa bulunmaktadır
şarkı da: 2 defa bulunmaktadır
da sürebilir...: 1 defa bulunmaktadır
